lab_number_sample	lab_sampleid	cell_line_id	sample	population	color_pop	ooa	color_ooa	sex_code	color_sex	hapmap_DNA_ID	hapmap	GEUVADIS	MAGE	1000G	ONT1000G	pangenome	GIAB	rDNA	sex	two_letter_pop	rDNA_ONT	wgs_sr_ill	wgs_lr_pb	wgs_lr_ont	mixed_samples	reads_fastq7	reads_fastq10	map_reads_generalmap	map_reads_assemblymap	trizol_batchA	trizol_batchB	rna_extraction_batchA	rna_extraction_batchB	captrap_batch	captrap_batch	unmerged_run_mode	merged_run_mode	quantification_id	libprep_batch	two_runs	was_switched_with	relabeled	family_member	family	population_full_name	population _description	extra_info	coriell_link
39	IN5	HG04217	ITU5	ITU	#db72f2	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	IN	FALSE	TRUE	TRUE	FALSE	FALSE	18430240	16565907	16137450	15900414	10/07/2023	11/07/2023	01/08/23	27/07/23	10/10/23	10/10/23	TRUE	TRUE	HG04217	02/04/2024	FALSE	34	TRUE	Child	IT220	Indian Telugu in the UK	Indian Telugu in the UK	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG04217&product=CC
38	IN4	HG04216	ITU4	ITU	#db72f2	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	Female	IN	TRUE	TRUE	FALSE	FALSE	FALSE	10883743	9680498	9666327	9429263	07/07/2023	05/07/2023	26/07/23	M03/08/23	03/10/23	03/10/23	TRUE	TRUE	HG04216	27/02/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Indian Telugu in the UK	Indian Telugu in the UK	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG04216&Product=CC
37	IN3	HG03732	ITU3	ITU	#db72f2	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	IN	TRUE	TRUE	TRUE	TRUE	FALSE	12356132	10803607	10591649	10314982	07/07/2023	05/07/2023	25/07/23	26/07/23	18/09/23	18/09/23	TRUE	TRUE	HG03732	12/02/2024	FALSE	FALSE	FALSE	Child	IT3	Indian Telugu in the UK	Indian Telugu in the UK	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03732&product=CC
36	IN2	HG03729	ITU2	ITU	#db72f2	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	IN	TRUE	TRUE	FALSE	FALSE	FALSE	14722303	14540047	13511563	14433796	04/08/2023	10/07/2023	07/08/23	02/08/23	22/01/24	22/01/24	TRUE	TRUE	HG03729	03/06/2024	FALSE	FALSE	FALSE	Unrelated	Unrelated	Indian Telugu in the UK	Indian Telugu in the UK	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03729&Product=CC
35	IN1	HG03719	ITU1	ITU	#db72f2	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	IN	TRUE	TRUE	TRUE	FALSE	FALSE	18168065	15811375	15569819	15373609	13/07/2023	07/07/2023	02/08/23	T03/08/23	24/10/23	24/10/23	TRUE	TRUE	HG03719	25/03/2024	FALSE	FALSE	FALSE	Child	IT2	Indian Telugu in the UK	Indian Telugu in the UK	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03719&product=CC
34	PE6	HG02293	PEL6	PEL	#ff3a33	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	PE	FALSE	TRUE	TRUE	TRUE	FALSE	10301388	9079573	8885690	8657393	07/07/2023	05/07/2023	25/07/23	M03/08/23	10/10/23	10/10/23	TRUE	TRUE	HG02293	20/02/2024	FALSE	39	TRUE	Child	PEL051	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02293&product=CC
33	PE5	HG02261	PEL5	PEL	#ff3a33	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	PE	FALSE	TRUE	FALSE	FALSE	FALSE	26760306	25280188	23616769	24396936	13/07/2023	07/07/2023	02/08/23	27/07/23	10/10/23	10/10/23	FALSE	TRUE	HG02261	16/02/2024_09/07/2024	TRUE	19	TRUE	Child	PEL042	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02261&product=CC
33_1	PE5_1	HG02261	PEL5_1	PEL	#ff3a33	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	PE	FALSE	TRUE	FALSE	FALSE	FALSE	26760306	25280188	23616769	24396936	13/07/2023	07/07/2023	02/08/23	27/07/23	10/10/23	10/10/23	TRUE	FALSE	20240216_HS_33_PE5_HG02261	16/02/2024	TRUE	19	TRUE	Child	PEL042	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02261&product=CC
33_2	PE5_2	HG02261	PEL5_2	PEL	#ff3a33	OOA	#259069	1	#4A97CB	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Male	PE	FALSE	TRUE	FALSE	FALSE	FALSE	26760306	25280188	23616769	24396936	13/07/2023	07/07/2023	02/08/23	27/07/23	10/10/23	10/10/23	TRUE	FALSE	20240709_HS_33_PE5_HG02261	09/07/2024	TRUE	19	TRUE	Child	PEL042	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02261&product=CC
32	PE4	HG01975	PEL4	PEL	#ff3a33	OOA	#259069	2	#B8295B	no_hapmap	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	Female	PE	TRUE	TRUE	TRUE	TRUE	FALSE	18153604	16580291	16028126	16111551	07/07/2023	05/07/2023	01/08/23	27/07/23	03/10/23	03/10/23	TRUE	TRUE	HG01975	16/02/2024	FALSE	FALSE	FALSE	Child	PEL025	Peruvian in Lima	Peruvian in Lima	Empty	https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG01975&product=CC
