2024-11-08 11:49:57.676452	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&biosample_ontology.classification=primary+cell&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR169YNI/	ENCSR169YNI	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex	GEO:GSE219545	RUSH brain E7461192	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF854YAZ/,/files/ENCFF827DUW/,/files/ENCFF753EDC/,/files/ENCFF114VSO/,/files/ENCFF509ZIC/,/files/ENCFF270HYK/	/disease-series/ENCSR295TBA/	ENCBS086OWN	1	1		Homo sapiens	adult	90 or above years												/replicates/86af400b-a268-438c-8bf3-947f3df4182c/				
/experiments/ENCSR462COR/	ENCSR462COR	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex	GEO:GSE219871	RUSH brain E3348003	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF244ZQG/,/files/ENCFF708BOP/,/files/ENCFF565SOM/,/files/ENCFF678TEN/,/files/ENCFF015EMC/,/files/ENCFF561RPD/	/disease-series/ENCSR452TLC/	ENCBS127CGY	1	1		Homo sapiens	adult	90 or above years												/replicates/ade43084-3b56-49b8-9b5f-837103e3f90a/				
/experiments/ENCSR316ZTD/	ENCSR316ZTD	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex	GEO:GSE219675	RUSH brain E6207143	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF019PGG/,/files/ENCFF446EFU/,/files/ENCFF983ETQ/,/files/ENCFF457BBP/,/files/ENCFF180NXA/,/files/ENCFF564ONS/	/disease-series/ENCSR278KPI/	ENCBS481WHG	1	1		Homo sapiens	adult	90 or above years												/replicates/2e46c2bf-3d89-4e5d-9645-c15215066db4/				
/experiments/ENCSR305TBU/	ENCSR305TBU	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens brain tissue embryo	brain			Roderic Guigo, CRG	community	in progress	/files/ENCFF494JRT/		ENCBS439EKO	1	1		Homo sapiens	embryonic													/replicates/047f0f09-f25c-4988-8fc1-763c58443ac0/				CapTrap
/experiments/ENCSR541NRY/	ENCSR541NRY	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens small intestine tissue male embryo (115 days)	small intestine			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF708EWF/,/files/ENCFF939WZX/		ENCBS526NVK	1	1		Homo sapiens	embryonic	115 days												/replicates/76b3f4c5-7ea0-43c4-8532-54d8674a1fed/				
/experiments/ENCSR720KOH/	ENCSR720KOH	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens renal pelvis tissue female embryo (103 days)	renal pelvis			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF964KVG/,/files/ENCFF870TGV/		ENCBS694MLX	1	1		Homo sapiens	embryonic	103 days												/replicates/0e4d20a8-9a2e-4310-bf71-15773767cf3e/				
/experiments/ENCSR475SHG/	ENCSR475SHG	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens lung tissue male embryo (115 days)	lung			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF269SJB/,/files/ENCFF492HGZ/		ENCBS519EXR	1	1		Homo sapiens	embryonic	115 days												/replicates/fa1b2f66-091b-4039-a0e2-917f7dbcf945/				
/experiments/ENCSR852YUV/	ENCSR852YUV	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens brain tissue embryo (112 days)	brain			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF081XKD/,/files/ENCFF237XIT/		ENCBS370ZVO	1	1		Homo sapiens	embryonic	112 days												/replicates/027e194e-dff7-4281-9566-d86c4287c194/				
/experiments/ENCSR979UPD/	ENCSR979UPD	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens muscle of leg tissue female embryo (115 days)	muscle of leg			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF319SVL/,/files/ENCFF847JVF/		ENCBS252AST	1	1		Homo sapiens	embryonic	115 days												/replicates/ff0fca85-31ec-42ef-832e-af386bc50852/				
/experiments/ENCSR400AEX/	ENCSR400AEX	long read RNA-seq	long read RNA-seq	tissue				Homo sapiens stomach tissue male embryo (127 days)	stomach			John Stamatoyannopoulos, UW	ENCODE	in progress	/files/ENCFF033TDV/,/files/ENCFF636ERU/		ENCBS152MQG	1	1		Homo sapiens	embryonic	127 days												/replicates/c6d3cb97-e600-4e2c-a0fe-534bbb870cfe/				
