sample_id	date_of_sequencing	sample_name	tissue	protocol	mrna_rin	flush_buffer	amount_loaded_ng	run_time	total_reads	median_read_length	median_read_quality	aligned_reads	median_read_length_align	median_read_quality_aligned	WGS	data_center	RNA_extraction_method	3_prime_bias_median	3_prime_bias_sd	inferred_ancestry	RACE
LV1681	53119	CVD-LV1681	Heart - Left Ventricle	cDNA-PCR	NA	PBT	60	48	2287307	195	9.9	620717	696	10.9	No	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.65300000000000002	0.378	NA	NA
LV1702	53119	CVD-LV1702	Heart - Left Ventricle	cDNA-PCR	NA	PBT	60	48	4456040	211	10.3	1517665	737	11.5	No	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.754	0.35699999999999998	NA	NA
LV1708	60319	CVD-LV1708	Heart - Left Ventricle	cDNA-PCR	NA	PBT	60	48	2586875	261	10.5	1117070	699	11.2	No	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.65900000000000003	0.38200000000000001	NA	NA
LV1723	60319	CVD-LV1723	Heart - Left Ventricle	cDNA-PCR	NA	PBT	60	48	3577244	230	10.5	1017015	666	11.5	No	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.56999999999999995	0.39900000000000002	NA	NA
GTEX-1192X-0011-R10a-SM-4RXXZ	52219	GTEX-1192X	Brain - Frontal Cortex (BA9)	cDNA-PCR	8.6999999999999993	PBT	60	48	7568902	651	11.4	5593813	750	11.8	Yes	BROAD	RNA isolation_PAXgene Tissue miRNA	0.78200000000000003	0.34799999999999998	EUR	3
GTEX-11H98-0011-R11b-SM-4SFLZ	50319	GTEX-11H98	Brain - Cerebellar Hemisphere	cDNA-PCR	9.1999999999999993	PBT	50	48	9085504	712	11.8	7298448	785	12	No	BROAD	RNA isolation_PAXgene Tissue miRNA	0.84199999999999997	0.35499999999999998	NA	3
GTEX-11TTK-0011-R7b-SM-4TVFS	42619	GTEX-11TTK	Brain - Putamen (basal ganglia)	cDNA-PCR	9.3000000000000007	PBT	50	48	5246513	427	10.9	3044371	683	11.5	Yes	BROAD	RNA isolation_PAXgene Tissue miRNA	0.69	0.35799999999999998	EUR	3
GTEX-1211K-0826-SM-7LDFQ	52219	GTEX-1211K	Lung	cDNA-PCR	9.5	PBT	60	48	5316140	595	11.3	3484486	713	11.9	Yes	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.68600000000000005	0.36699999999999999	EUR	3
GTEX-1313W-0011-R7b-SM-4ZL3U	51619	GTEX-1313W	Brain - Putamen (basal ganglia)	cDNA-PCR	8.9	PBT	60	48	2440805	578	10.7	1727002	730	11	Yes	BROAD	RNA isolation_PAXgene Tissue miRNA	0.75600000000000001	0.32300000000000001	EUR	3
GTEX-13QBU-0426-SM-5A4VT	52219	GTEX-13QBU	Heart - Left Ventricle	cDNA-PCR	9.1999999999999993	PBT	60	48	6987270	303	10.5	3337922	705	11.5	Yes	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.66400000000000003	0.35699999999999998	EUR	3
GTEX-13QJ3-0726-SM-7LDHS	43019	GTEX-13QJ3	Muscle - Skeletal	cDNA-PCR	9.1	PBT	50	48	6631337	438	10.6	3491896	766	11.5	Yes	BROAD	RNA Extraction from Paxgene-derived Lysate Plate Based	0.76300000000000001	0.35199999999999998	EUR	3
