run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	experiment_alias	fastq_bytes	fastq_ftp	submitted_bytes	submitted_ftp	sra_bytes	sra_ftp	sample_alias	bam_ftp	bam_bytes
SRR19762167	SAMN29221552	SRX15806983	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19704_batch11_rep1	1579585821;1583976496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/067/SRR19762167/SRR19762167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/067/SRR19762167/SRR19762167_2.fastq.gz			2300241946	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/067/SRR19762167/SRR19762167.lite	NA19704		
SRR19762172	SAMN29221523	SRX15806979	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19332_batch14_rep1	1969985537;1972458971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/072/SRR19762172/SRR19762172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/072/SRR19762172/SRR19762172_2.fastq.gz			2816090845	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/072/SRR19762172/SRR19762172.lite	NA19332		
SRR19762173	SAMN29221521	SRX15806977	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19317_batch15_rep1	1387073734;1388216521	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/073/SRR19762173/SRR19762173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/073/SRR19762173/SRR19762173_2.fastq.gz			1963604975	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/073/SRR19762173/SRR19762173.lite	NA19317		
SRR19762174	SAMN29221520	SRX15806976	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19312_batch05_rep1	2814206811;2808461053	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/074/SRR19762174/SRR19762174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/074/SRR19762174/SRR19762174_2.fastq.gz			4032626102	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/074/SRR19762174/SRR19762174.lite	NA19312		
SRR19762175	SAMN29221522	SRX15806978	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19323_batch11_rep1	1589064552;1592540862	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/075/SRR19762175/SRR19762175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/075/SRR19762175/SRR19762175_2.fastq.gz			2313999948	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/075/SRR19762175/SRR19762175.lite	NA19323		
SRR19762181	SAMN29221516	SRX15806969	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19143_batch04_rep3	1079477841;1085169613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/081/SRR19762181/SRR19762181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/081/SRR19762181/SRR19762181_2.fastq.gz			1607001620	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/081/SRR19762181/SRR19762181.lite	NA19143		
SRR19762182	SAMN29221516	SRX15806971	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA19143_batch15_rep2	1418641218;1419871360	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/082/SRR19762182/SRR19762182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/082/SRR19762182/SRR19762182_2.fastq.gz			2007360046	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/082/SRR19762182/SRR19762182.lite	NA19143		
SRR19762183	SAMN29220967	SRX15806973	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	HG00326_batch08_rep1	1411431765;1414245568	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/083/SRR19762183/SRR19762183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/083/SRR19762183/SRR19762183_2.fastq.gz			2022763475	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/083/SRR19762183/SRR19762183.lite	HG00326		
SRR19762188	SAMN29221480	SRX15806962	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18942_batch15_rep1	1468444088;1469402050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/088/SRR19762188/SRR19762188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/088/SRR19762188/SRR19762188_2.fastq.gz			2077940473	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/088/SRR19762188/SRR19762188.lite	NA18942		
SRR19762193	SAMN29221477	SRX15806958	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18915_batch11_rep1	1436386639;1441015475	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/093/SRR19762193/SRR19762193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/093/SRR19762193/SRR19762193_2.fastq.gz			2118489295	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/093/SRR19762193/SRR19762193.lite	NA18915		
SRR19762195	SAMN29221474	SRX15806955	PRJNA851328	9606	Homo sapiens	ILLUMINA	Illumina NovaSeq 6000	NA18878_batch13_rep1	1464158529;1466886079	ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/095/SRR19762195/SRR19762195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR197/095/SRR19762195/SRR19762195_2.fastq.gz			2109318607	ftp.sra.ebi.ac.uk/vol1/srr/SRR197/095/SRR19762195/SRR19762195.lite	NA18878		
