transcript_id	transcript_id_gencode_v47
ENST00000010132.6	1
ENST00000013894.3	1
ENST00000075120.12	2
ENST00000155093.8	1
ENST00000156084.8	1
ENST00000159060.3	1
ENST00000167825.5	1
ENST00000177648.13	1
ENST00000189444.11	1
ENST00000194672.11	1
ENST00000211998.10	1
ENST00000214893.10	1
ENST00000217961.5	1
ENST00000218147.11	1
ENST00000218328.12	1
ENST00000218548.10	1
ENST00000219084.10	1
ENST00000220966.10	2
ENST00000221899.7	1
ENST00000222572.8	3
ENST00000223836.10	1
ENST00000224756.12	1
ENST00000225648.4	1
ENST00000225929.5	1
ENST00000228862.3	1
ENST00000229471.8	1
ENST00000231504.5	1
ENST00000232978.13	1
ENST00000233025.11	2
ENST00000233710.4	1
ENST00000235933.10	1
ENST00000236147.6	2
ENST00000236925.9	1
ENST00000237186.10	1
ENST00000237512.4	1
ENST00000238256.8	2
ENST00000240361.12	1
ENST00000240487.5	1
ENST00000242737.5	1
ENST00000244364.10	1
ENST00000244513.10	1
ENST00000245620.13	1
ENST00000246314.10	1
ENST00000246639.7	1
ENST00000246784.8	2
ENST00000247153.7	1
ENST00000247295.4	1
ENST00000248550.7	1
ENST00000250113.12	2
ENST00000250863.12	1
ENST00000250930.7	1
ENST00000251091.9	1
ENST00000252029.8	1
ENST00000252032.10	1
ENST00000252527.8	1
ENST00000252542.9	2
ENST00000252898.11	1
ENST00000253159.12	1
ENST00000253339.9	1
ENST00000253496.4	1
ENST00000254299.8	2
ENST00000254657.8	2
ENST00000254663.12	2
ENST00000254854.5	1
ENST00000255486.8	1
ENST00000255495.7	1
ENST00000256261.9	1
ENST00000256652.8	1
ENST00000256678.12	1
ENST00000256858.10	1
ENST00000256897.9	2
ENST00000258398.8	1
ENST00000258459.12	1
ENST00000258484.11	1
ENST00000258646.3	1
ENST00000259318.7	1
ENST00000259605.11	1
ENST00000260318.6	1
ENST00000260526.11	1
ENST00000261015.5	2
ENST00000261244.9	1
ENST00000261426.10	1
ENST00000261535.7	1
ENST00000261800.6	1
ENST00000261844.11	1
ENST00000261897.5	1
ENST00000261963.11	1
ENST00000262519.14	2
ENST00000262585.6	1
ENST00000262630.7	1
ENST00000262794.10	1
ENST00000262949.7	1
ENST00000262970.9	1
ENST00000263033.9	1
ENST00000263083.12	2
ENST00000263437.10	1
ENST00000263688.4	1
ENST00000263741.12	1
ENST00000264031.3	1
ENST00000264221.6	2
ENST00000264254.11	2
ENST00000264343.4	1
ENST00000264370.9	1
ENST00000264405.9	1
ENST00000264441.9	1
ENST00000264546.10	1
ENST00000264694.13	2
ENST00000264758.11	1
ENST00000264779.6	1
ENST00000264785.12	1
ENST00000264790.7	1
ENST00000264904.8	1
ENST00000265094.9	1
ENST00000265148.9	1
ENST00000265284.10	1
ENST00000265344.8	2
ENST00000265375.13	1
ENST00000265428.4	1
ENST00000265447.8	1
ENST00000265529.7	1
ENST00000265537.8	1
ENST00000265619.6	1
ENST00000265734.8	1
ENST00000265870.7	1
ENST00000265970.11	1
ENST00000266743.6	1
ENST00000267085.8	1
ENST00000268676.11	1
ENST00000268712.8	1
ENST00000269053.8	1
ENST00000269138.9	1
ENST00000269305.9	2
ENST00000270361.15	1
ENST00000271776.4	1
ENST00000272298.12	2
ENST00000273221.8	1
ENST00000273432.8	1
ENST00000274030.11	1
ENST00000275732.5	1
ENST00000275763.10	1
ENST00000276052.10	2
ENST00000276141.10	1
ENST00000276204.10	1
ENST00000276898.3	1
ENST00000277531.8	1
ENST00000277575.5	1
ENST00000277817.10	1
ENST00000278385.10	1
ENST00000278499.6	1
ENST00000278572.10	1
ENST00000278612.9	2
ENST00000278756.7	1
ENST00000280606.7	1
ENST00000280876.6	1
ENST00000281394.8	1
ENST00000281923.4	1
ENST00000282169.8	1
ENST00000282943.9	1
ENST00000284041.7	1
ENST00000284483.12	1
ENST00000285848.9	2
ENST00000287097.6	1
ENST00000287396.2	1
ENST00000287474.9	1
ENST00000288398.10	1
ENST00000288599.9	1
ENST00000288602.11	1
ENST00000288943.5	2
ENST00000289004.8	1
ENST00000289619.9	1
ENST00000290178.4	1
ENST00000290894.12	1
ENST00000291478.9	1
ENST00000291688.6	1
ENST00000292385.9	1
ENST00000294623.8	1
ENST00000294649.8	1
ENST00000294678.6	1
ENST00000294737.11	1
ENST00000294796.8	2
ENST00000295211.5	1
ENST00000295454.8	1
ENST00000295605.6	1
ENST00000295709.8	1
ENST00000295736.9	1
ENST00000296098.4	1
ENST00000296126.6	1
ENST00000296302.11	1
ENST00000297183.10	1
ENST00000297289.9	1
ENST00000297792.9	1
ENST00000298223.11	1
ENST00000298532.2	1
ENST00000298537.11	1
ENST00000299140.8	1
ENST00000299166.9	2
ENST00000299297.8	1
ENST00000299606.6	1
ENST00000299633.7	2
ENST00000299798.16	1
ENST00000299906.5	1
ENST00000300119.8	1
ENST00000300182.8	1
ENST00000301323.7	1
ENST00000301732.10	1
ENST00000301897.5	1
ENST00000302071.6	1
ENST00000302291.9	1
ENST00000302342.3	1
ENST00000302347.10	1
ENST00000302640.13	1
ENST00000303025.10	1
ENST00000303113.10	1
ENST00000303657.10	1
ENST00000304283.9	1
ENST00000304465.7	1
ENST00000304581.8	1
ENST00000304808.10	1
ENST00000305699.15	1
ENST00000305852.11	1
ENST00000306010.8	2
ENST00000306450.5	1
ENST00000306682.6	1
ENST00000306888.6	1
ENST00000307180.4	1
ENST00000307266.7	1
ENST00000307526.4	1
